,card,fouls_committed,fouls_suffered,goal,goals,league,player,season,shotoff,shoton,team,penalties,non_penalties
0,"[u'y', u'y', u'y', u'y']",37,25,"[u'distance', u'volley']",2,1729,25537,2014/2015,4,8,9826,0,2
1,"[u'y', u'y', u'y', u'y']",9,20,"[u'volley', u'shot']",2,1729,143793,2014/2015,5,9,9825,0,2
2,"[u'y', u'y']",10,5,"[u'header', u'shot']",2,1729,26777,2014/2015,2,2,9826,0,2
3,"[u'y', u'y', u'y', u'y']",45,76,"[u'header', u'shot', u'shot', u'shot', u'header', u'shot', u'direct_freekick', u'shot', u'shot', u'distance', u'direct_freekick', u'shot', u'volley', u'shot', u'lob', u'shot']",16,1729,50047,2014/2015,32,71,9825,0,16
4,[u'y'],10,9,[],0,1729,24011,2014/2015,2,0,9825,0,0
5,"[u'y', u'y', u'y', u'y', u'y']",16,20,"[u'shot', u'header', u'header', u'tap_in']",4,1729,24157,2014/2015,10,8,9826,0,4
6,"[u'y', u'y2', u'y', u'y', u'y']",49,36,"[u'direct_freekick', 'penalty', 'penalty', u'header', 'penalty']",5,1729,8985,2014/2015,9,19,9826,3,2
7,"[u'y', u'y']",15,10,[u'header'],1,1729,26154,2014/2015,3,6,9825,0,1
8,"[u'y', u'y', u'y', u'y', u'y']",23,56,"['penalty', u'shot', 'penalty', 'penalty', 'penalty', 'penalty', 'penalty']",7,1729,37436,2014/2015,31,53,9825,6,1
9,"[u'y', u'y', u'y', u'y2', u'y', u'y', u'y', u'y', u'y']",24,19,[u'shot'],1,1729,425255,2014/2015,2,3,9825,0,1
10,"[u'y', u'y2', u'y', u'y', u'y', u'y', u'y', u'y']",49,27,"[u'shot', u'distance', u'volley', u'direct_freekick', u'direct_freekick', u'direct_freekick']",6,1729,35345,2014/2015,26,32,9826,0,6
11,"[u'y', u'y']",34,14,[],0,1729,154271,2014/2015,3,4,9826,0,0
12,"[u'y', u'y', u'y']",49,45,"[u'shot', u'lob', u'shot', u'shot']",4,1729,160194,2014/2015,30,35,9826,0,4
13,[],1,2,[],0,1729,192921,2014/2015,2,6,9825,0,0
14,"[u'y', u'y', u'y', u'y', u'y', u'y']",25,13,"[u'header', u'header']",2,1729,23837,2014/2015,5,7,9826,0,2
15,[],12,21,"[u'shot', u'header']",2,1729,22929,2014/2015,7,3,9826,0,2
16,"[u'y', u'y', u'y']",22,19,[],0,1729,38521,2014/2015,1,2,9825,0,0
17,"[u'y', u'y', u'y', u'y']",38,45,[u'deflected'],1,1729,146830,2014/2015,4,6,9826,0,1
18,[u'y'],0,2,[],0,1729,169718,2014/2015,0,0,9825,0,0
19,"[u'y', u'y', u'y', u'y']",20,16,"[u'header', u'header', u'volley']",3,1729,46539,2014/2015,2,2,9825,0,3
20,"[u'y', u'y', u'y', u'y', u'y', u'y']",24,29,"[u'tap_in', u'volley', u'tap_in', u'shot', u'shot', u'deflected']",6,1729,75489,2014/2015,34,24,9825,0,6
21,"[u'y', u'r', u'y', u'y', u'y', u'y']",37,30,"[u'shot', u'header', u'shot', u'shot', u'header', u'header', u'shot', u'tap_in', u'volley', u'shot', u'shot', u'shot', u'header', u'shot']",14,1729,46469,2014/2015,32,26,9825,0,14
22,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",35,24,"[u'loose_ball', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'header', u'shot', u'shot', u'shot', 'penalty', u'header', u'shot', u'shot', u'header', u'lob']",20,1729,19243,2014/2015,27,29,8455,1,19
23,"[u'y', u'y', u'y']",21,46,[],0,1729,23134,2014/2015,6,4,8191,0,0
24,"[u'y', u'y']",18,49,[],0,1729,191869,2014/2015,2,10,8191,0,0
25,"[u'y', u'y']",14,110,"['penalty', u'shot', u'shot', u'header', u'shot', u'shot', u'shot', u'shot', u'header', u'volley', 'penalty', u'shot', u'loose_ball', 'penalty']",14,1729,107417,2014/2015,26,39,8455,3,11
26,"[u'y', u'y']",14,19,"[u'header', u'volley', u'shot', u'loose_ball', u'header']",5,1729,30627,2014/2015,8,8,8455,0,5
27,[u'y'],24,21,[],0,1729,27568,2014/2015,19,13,8191,0,0
28,"[u'y', u'y', u'y', u'y', u'y']",25,17,[u'shot'],1,1729,23783,2014/2015,9,15,8455,0,1
29,[],9,5,[],0,1729,24372,2014/2015,1,5,8191,0,0
30,"[u'y', u'y']",9,7,"[u'tap_in', u'tap_in', u'tap_in']",3,1729,178812,2014/2015,7,11,8455,0,3
31,"[u'y', u'y', u'y', u'y', u'r']",17,14,[],0,1729,43252,2014/2015,1,1,8191,0,0
32,[],27,21,[],0,1729,25415,2014/2015,4,17,8191,0,0
33,"[u'y', u'y', u'y', u'y', u'y']",33,23,"[u'shot', u'shot', u'volley', u'shot', u'shot', u'direct_freekick']",6,1729,128864,2014/2015,22,38,8455,0,6
34,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'r', u'y', u'y', u'y']",34,34,"[u'shot', u'shot', u'shot']",3,1729,30613,2014/2015,17,26,8455,0,3
35,"[u'y', u'y', u'y', u'y', u'y', u'y']",58,22,"[u'shot', u'shot']",2,1729,37240,2014/2015,21,16,8191,0,2
36,"[u'y', u'y']",4,3,[],0,1729,181242,2014/2015,1,1,8191,0,0
37,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y2']",40,27,"[u'tap_in', u'volley', u'shot', u'shot']",4,1729,31306,2014/2015,19,15,8455,0,4
38,"[u'y', u'y', u'y', u'y', u'y', u'y']",23,46,"[u'shot', u'shot', 'penalty', u'header', u'shot', u'shot', u'header', u'header', u'shot', u'header', u'shot']",11,1729,214426,2014/2015,40,41,8191,1,10
39,"[u'y', u'y', u'y', u'y', u'y']",14,16,"[u'shot', u'header', u'shot', u'header']",4,1729,30822,2014/2015,19,12,8455,0,4
40,"[u'y', u'y', u'y']",22,16,[],0,1729,67850,2014/2015,1,1,8197,0,0
41,[u'y'],8,15,[],0,1729,36012,2014/2015,1,3,8668,0,0
42,[u'y'],20,30,"[u'shot', u'header', u'distance', u'header']",4,1729,23268,2014/2015,7,4,8668,0,4
43,"[u'y', u'y', u'y']",28,22,"[u'volley', u'loose_ball', u'distance', u'shot', 'penalty']",5,1729,23190,2014/2015,18,13,8197,1,4
44,"[u'y', u'y', u'y']",63,29,"[u'loose_ball', u'tap_in', u'backheel', u'header', u'shot', u'header', 'penalty', u'shot', u'tap_in', u'header', 'penalty']",11,1729,26554,2014/2015,21,18,8197,2,9
45,"[u'y', u'y', u'y']",22,49,"['penalty', 'penalty']",2,1729,24846,2014/2015,3,14,8668,2,0
46,[],5,6,[],0,1729,202562,2014/2015,3,2,8197,0,0
47,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y2', u'y', u'y', u'y', u'y']",58,33,[],0,1729,23782,2014/2015,5,8,8668,0,0
48,"[u'y', u'y']",27,26,"[u'shot', u'shot', u'tap_in', 'penalty', 'penalty', u'header', u'shot', u'shot', u'shot', u'shot']",10,1729,181276,2014/2015,36,64,8668,2,8
49,"[u'r', u'y']",25,10,"[u'header', u'shot']",2,1729,23571,2014/2015,9,8,8197,0,2
50,[],4,5,[],0,1729,24216,2014/2015,0,1,8668,0,0
51,[u'y'],31,14,[],0,1729,173317,2014/2015,9,4,8197,0,0
52,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",36,33,"[u'shot', u'shot']",2,1729,101192,2014/2015,6,9,8668,0,2
53,[u'y'],16,8,[u'shot'],1,1729,32448,2014/2015,10,7,8668,0,1
54,[u'y'],7,15,"[u'shot', u'shot']",2,1729,103419,2014/2015,5,6,8197,0,2
55,"[u'r', u'y', u'y2', u'y', u'y', u'y']",21,15,[u'shot'],1,1729,24781,2014/2015,1,3,8197,0,1
56,"[u'y', u'y', u'y', u'y']",6,4,[],0,1729,210804,2014/2015,2,0,8197,0,0
57,[],30,40,"[u'distance', u'distance', u'shot', u'header']",4,1729,278343,2014/2015,29,33,8197,0,4
58,"[u'y', u'y', u'y']",20,4,[],0,1729,22894,2014/2015,5,3,8197,0,0
59,[],5,2,[u'shot'],1,1729,169719,2014/2015,4,1,8197,0,1
60,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",36,57,"[u'shot', u'shot', u'header', u'shot', u'shot', u'header']",6,1729,32705,2014/2015,12,14,8668,0,6
61,"[u'y', u'y', u'y', u'y']",28,43,"[u'distance', u'shot', u'shot']",3,1729,214570,2014/2015,21,13,8197,0,3
62,"[u'y', u'y', u'y']",15,19,"[u'distance', u'direct_freekick', u'shot', u'header', u'shot', u'shot', u'shot']",7,1729,26151,2014/2015,23,23,8668,0,7
63,"[u'y', u'r', u'y', u'y']",31,36,"[u'shot', u'shot']",2,1729,46010,2014/2015,8,3,8466,0,2
64,"[u'y', u'y', u'y']",31,58,"[u'shot', u'distance', u'shot', u'shot', u'shot']",5,1729,184536,2014/2015,32,66,8650,0,5
65,"[u'y', u'y', u'y', u'y', u'r', u'y', u'y', u'y']",13,22,"[u'shot', 'penalty', 'penalty', 'penalty', 'penalty', u'header', u'header', u'shot', u'direct_freekick']",9,1729,30618,2014/2015,25,21,8650,4,5
66,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",69,32,"[u'distance', u'shot', u'shot']",3,1729,166676,2014/2015,12,12,8466,0,3
67,"[u'y', u'y']",31,24,"[u'loose_ball', u'loose_ball', 'penalty', u'distance']",4,1729,94267,2014/2015,20,27,8466,1,3
68,"[u'y', u'y', u'y', u'y', u'y', u'y']",31,24,"[u'shot', u'distance', u'shot', u'deflected', 'penalty', u'shot']",6,1729,156008,2014/2015,24,21,8650,1,5
69,"[u'y', u'y', u'y']",3,10,[],0,1729,299984,2014/2015,2,0,8650,0,0
70,"[u'y', u'y', u'y', u'y2', u'y', u'y', u'y']",43,21,"[u'loose_ball', u'tap_in', u'tap_in', u'shot']",4,1729,46893,2014/2015,16,14,8466,0,4
71,[],5,16,"[u'tap_in', u'shot', u'header', u'shot']",4,1729,51553,2014/2015,16,17,8650,0,4
72,"[u'y', u'y', u'y', u'y']",31,9,[],0,1729,95327,2014/2015,5,7,8650,0,0
73,"[u'y', u'y', u'y']",18,15,[],0,1729,23792,2014/2015,20,12,8466,0,0
74,"[u'y', u'y']",9,14,[u'loose_ball'],1,1729,34036,2014/2015,5,2,8650,0,1
75,"[u'y', u'y', u'y', u'y', u'y']",29,14,[],0,1729,26552,2014/2015,9,9,8466,0,0
76,"[u'y', u'y', u'y']",16,12,[u'header'],1,1729,72665,2014/2015,3,4,8466,0,1
77,[],0,6,[],0,1729,37868,2014/2015,0,0,8650,0,0
78,"[u'y', u'y', u'y', u'y']",19,14,[],0,1729,114268,2014/2015,9,7,8650,0,0
79,"[u'y', u'y', u'y', u'y', u'y', u'y']",69,35,"[u'loose_ball', u'shot', u'loose_ball', u'shot', u'shot', u'header', u'tap_in', u'header', u'tap_in', u'bicycle_kick', u'tap_in', u'shot']",12,1729,41280,2014/2015,53,44,8466,0,12
80,"[u'y', u'y', u'y']",20,23,[u'shot'],1,1729,47558,2014/2015,4,5,8650,0,1
81,[],0,1,[],0,1729,449231,2014/2015,0,0,8466,0,0
82,"[u'y', u'y', u'y', u'y', u'y']",45,93,"[u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot']",7,1729,246575,2014/2015,26,43,8650,0,7
83,"[u'y', u'y', u'y', u'y']",21,26,"[u'shot', u'shot']",2,1729,157838,2014/2015,10,7,8466,0,2
84,[u'r'],18,13,['penalty'],1,1729,279490,2014/2015,9,16,8466,1,0
85,"[u'y', u'y']",11,7,"[u'shot', u'shot']",2,1729,39225,2014/2015,6,16,8650,0,2
86,"[u'y', u'y']",28,28,"[u'shot', u'shot', u'tap_in', u'loose_ball', u'distance']",5,1729,23293,2014/2015,19,14,8466,0,5
87,"[u'y', u'y', u'y2', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",36,19,"[u'distance', 'penalty', u'shot']",3,1729,127130,2014/2015,30,30,10003,1,2
88,"[u'y', u'y', u'y', u'y', u'y', u'y']",28,41,"[u'shot', u'shot', u'shot', u'volley', u'shot', u'shot']",6,1729,164676,2014/2015,17,8,10260,0,6
89,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",33,29,[],0,1729,102356,2014/2015,4,2,10003,0,0
90,[],1,1,[],0,1729,299215,2014/2015,0,0,10260,0,0
91,"[u'y', u'y', u'y2', u'y']",27,35,"[u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', 'penalty', u'shot', u'shot']",9,1729,143365,2014/2015,25,28,10003,1,8
92,"[u'y', u'y', u'y']",27,29,[],0,1729,186137,2014/2015,1,2,10260,0,0
93,"[u'y', u'y']",24,34,"[u'volley', u'direct_freekick', u'direct_freekick', u'shot', u'volley', u'shot', u'distance']",7,1729,157729,2014/2015,21,34,10003,0,7
94,[],2,1,[],0,1729,70409,2014/2015,0,0,10260,0,0
95,"[u'y', u'y']",21,34,"[u'shot', u'shot', u'shot']",3,1729,23305,2014/2015,5,8,10003,0,3
96,[],13,23,[],0,1729,449241,2014/2015,16,10,10260,0,0
97,"[u'y', u'y', u'y', u'y']",29,42,"[u'distance', u'shot', u'shot', u'header', u'shot', u'shot', u'shot', u'shot']",8,1729,144996,2014/2015,11,8,10003,0,8
98,"[u'y', u'y', u'y2']",27,11,[],0,1729,89185,2014/2015,2,3,10003,0,0
99,"[u'y', u'r']",35,34,"[u'distance', u'volley', u'shot']",3,1729,38831,2014/2015,20,15,10003,0,3
100,"[u'y', u'y', u'y', u'y', u'y']",23,28,"[u'shot', u'loose_ball']",2,1729,23354,2014/2015,8,14,10260,0,2
101,[u'y'],6,2,[],0,1729,24148,2014/2015,0,1,10260,0,0
102,[],2,2,[],0,1729,42703,2014/2015,0,0,10003,0,0
103,"[u'y', u'y', u'y']",8,3,[],0,1729,193223,2014/2015,0,0,10003,0,0
104,"[u'y', u'y', u'y', u'y', u'y', u'r']",38,23,"[u'bicycle_kick', u'shot', u'distance', u'shot', u'tap_in', u'shot', 'penalty', u'header', u'shot', u'shot', u'shot', u'shot']",12,1729,30829,2014/2015,29,35,10260,1,11
105,"[u'y', u'y2', u'y']",24,12,"[u'shot', u'header', u'header', u'header']",4,1729,165823,2014/2015,8,3,10260,0,4
106,"[u'y', u'y', u'y', u'y', u'r', u'y']",65,30,"[u'header', u'shot', u'shot', u'header', u'header', u'shot']",6,1729,39618,2014/2015,14,16,10260,0,6
107,[],14,26,[u'header'],1,1729,52563,2014/2015,8,4,10003,0,1
108,"[u'y', u'y', u'y', u'r']",10,4,[],0,1729,501040,2014/2015,0,0,10260,0,0
109,[],22,40,"[u'header', u'header', u'shot', u'bicycle_kick', u'lob', u'header', u'shot']",7,1729,26344,2014/2015,33,27,10003,0,7
110,"[u'y', u'y']",25,36,"[u'distance', u'direct_freekick', u'header', u'tap_in', u'shot', u'bicycle_kick', u'shot', 'penalty', u'shot']",9,1729,41468,2014/2015,17,9,10260,1,8
111,"[u'y', u'y']",29,55,[u'distance'],1,1729,199834,2014/2015,18,23,10261,0,1
112,"[u'y', u'y', u'y', u'y']",21,20,"[u'direct_freekick', u'direct_freekick']",2,1729,16351,2014/2015,12,13,8456,0,2
113,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y2', u'y']",34,20,[u'deflected'],1,1729,104482,2014/2015,16,13,10261,0,1
114,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",36,42,"[u'shot', u'deflected', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'tap_in', u'shot', u'shot', u'shot']",12,1729,37459,2014/2015,21,32,8456,0,12
115,[],14,12,[u'shot'],1,1729,161420,2014/2015,18,12,10261,0,1
116,[],16,15,"[u'tap_in', u'shot', u'volley', u'shot', u'backheel']",5,1729,92666,2014/2015,15,16,8456,0,5
117,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",56,60,"[u'shot', u'distance', u'shot', u'shot']",4,1729,160243,2014/2015,9,12,10261,0,4
118,"[u'y', u'y', u'y', u'y', u'y']",31,18,"[u'shot', u'distance', 'penalty', u'shot', 'penalty', u'distance', u'shot', u'deflected', u'shot', u'distance']",10,1729,36615,2014/2015,39,37,8456,2,8
119,"[u'y', u'y', u'y']",17,10,[],0,1729,109652,2014/2015,6,0,10261,0,0
120,"[u'y', u'y', u'y', u'y', u'y', u'y']",32,8,[u'header'],1,1729,30459,2014/2015,5,3,8456,0,1
121,"[u'y', u'y', u'y']",23,16,[u'deflected'],1,1729,31292,2014/2015,8,13,10261,0,1
122,"[u'y', u'y', u'y', u'y2', u'y', u'y', u'y', u'y2', u'y', u'y', u'y']",53,44,"[u'shot', u'shot', u'shot', u'header']",4,1729,94550,2014/2015,21,18,10261,0,4
123,[u'y'],13,9,"[u'shot', u'shot', u'shot', u'shot']",4,1729,15403,2014/2015,22,17,8456,0,4
124,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",34,12,[],0,1729,39027,2014/2015,2,1,8456,0,0
125,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",64,28,"[u'distance', u'header', u'volley']",3,1729,40196,2014/2015,10,8,8456,0,3
126,"[u'y', u'y', u'y', u'y', u'y', u'y']",29,24,"[u'direct_freekick', u'header', u'tap_in', u'tap_in', u'shot']",5,1729,38807,2014/2015,18,14,8456,0,5
127,"[u'y', u'y', u'y', u'y', u'y', u'y']",26,12,"[u'bicycle_kick', u'loose_ball']",2,1729,101103,2014/2015,5,4,8456,0,2
128,"[u'y', u'y', u'y', u'y']",18,24,"[u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', u'shot', 'penalty', 'penalty', u'tap_in', u'shot', u'shot', u'tap_in', u'shot', u'lob', u'shot', 'penalty', u'header', u'shot', u'shot', u'shot', u'shot', 'penalty', 'penalty', u'shot']",26,1729,37412,2014/2015,52,66,8456,5,21
129,"[u'y', u'y', u'y', u'y', u'y']",13,8,"[u'shot', u'shot']",2,1729,26181,2014/2015,11,18,8456,0,2
130,[],31,41,"[u'shot', u'backheel', u'header', u'shot', u'shot', u'shot', u'header']",7,1729,479020,2014/2015,28,29,10261,0,7
131,"[u'y', u'y', u'y', u'y']",13,17,[],0,1729,308932,2014/2015,12,3,10261,0,0
132,[u'y'],1,2,[u'header'],1,1729,570431,2014/2015,4,1,10261,0,1
133,"[u'y', u'y']",14,5,[],0,1729,24658,2014/2015,8,1,8667,0,0
134,[],0,5,[],0,1729,39987,2014/2015,3,4,10172,0,0
135,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",54,22,[u'distance'],1,1729,115681,2014/2015,14,16,8667,0,1
136,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'r', u'y', u'y', u'y']",49,40,[u'shot'],1,1729,24205,2014/2015,21,15,10172,0,1
137,"[u'y', u'y', u'y']",9,3,[],0,1729,149917,2014/2015,4,4,10172,0,0
138,"[u'y', u'y', u'r', u'y', u'y', u'y2', u'y', u'y', u'y']",39,33,[],0,1729,24656,2014/2015,18,16,8667,0,0
139,[],5,4,[],0,1729,212714,2014/2015,2,7,8667,0,0
140,[],1,2,[],0,1729,97657,2014/2015,1,1,10172,0,0
141,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",24,8,[],0,1729,24211,2014/2015,6,4,10172,0,0
142,"[u'y', u'y', u'y']",28,24,"[u'shot', u'tap_in', u'lob', u'deflected', u'shot', u'header', u'bicycle_kick', u'shot']",8,1729,8922,2014/2015,31,23,8667,0,8
143,"[u'y', u'y']",10,5,[],0,1729,63520,2014/2015,3,2,10172,0,0
144,"[u'r', u'y', u'y', u'y']",18,33,[u'header'],1,1729,21864,2014/2015,6,10,8667,0,1
145,"[u'y', u'y', u'y2', u'y', u'y', u'y']",34,41,"[u'backheel', u'shot', u'tap_in', u'shot', 'penalty', u'tap_in', u'header', 'penalty', 'penalty', u'header', u'shot', u'shot', u'header', u'shot', u'header', u'volley', u'distance', u'shot']",18,1729,187266,2014/2015,28,75,10172,3,15
146,[],1,6,[],0,1729,32496,2014/2015,0,0,8667,0,0
147,"[u'y', u'y']",11,12,[u'tap_in'],1,1729,40132,2014/2015,8,3,8667,0,1
148,"[u'y', u'y']",12,12,[],0,1729,113465,2014/2015,15,5,10172,0,0
149,"[u'y', u'y', u'y', u'y', u'r', u'y']",27,13,"[u'header', u'header']",2,1729,163200,2014/2015,3,3,8667,0,2
150,[u'y'],18,11,[u'header'],1,1729,176889,2014/2015,11,9,10172,0,1
151,"[u'y', u'y']",2,3,[],0,1729,30620,2014/2015,0,1,10172,0,0
152,"[u'y', u'y', u'y', u'y']",42,19,"[u'loose_ball', u'shot', u'shot']",3,1729,24741,2014/2015,16,9,10172,0,3
153,"[u'y', u'y']",8,2,[],0,1729,30890,2014/2015,3,2,10252,0,0
154,"[u'y', u'y']",33,29,"[u'distance', u'shot', u'distance']",3,1729,109621,2014/2015,20,20,10194,0,3
155,"[u'y', u'y', u'y', u'y']",23,17,[],0,1729,182223,2014/2015,10,8,10252,0,0
156,"[u'y', u'y', u'y', u'y', u'y', u'y']",37,21,[],0,1729,23253,2014/2015,2,9,10194,0,0
157,"[u'r', u'y', u'y']",14,8,[],0,1729,30352,2014/2015,2,6,10252,0,0
158,"[u'y', u'y', u'y', u'r', u'y', u'y', u'y', u'y']",48,54,"[u'shot', u'shot', u'shot', u'shot', u'shot', u'loose_ball']",6,1729,23264,2014/2015,21,23,10252,0,6
159,"[u'y', u'y', u'y', u'y', u'y', u'y']",24,34,[],0,1729,36786,2014/2015,8,7,10194,0,0
160,"[u'y', u'y', u'y']",18,6,[],0,1729,24213,2014/2015,7,8,10194,0,0
161,"[u'r', u'y']",17,41,[],0,1729,78324,2014/2015,24,15,10252,0,0
162,"[u'y', u'y', u'y', u'y', u'y2', u'y']",23,4,[],0,1729,47418,2014/2015,2,2,10194,0,0
163,"[u'y', u'y', u'y']",26,15,[],0,1729,29581,2014/2015,9,12,10252,0,0
164,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",58,36,"[u'header', u'shot', u'shot', u'header', u'shot', u'shot', u'shot', u'volley', u'loose_ball', u'shot', u'header']",11,1729,72735,2014/2015,23,25,10194,0,11
165,"[u'y', u'y']",7,29,"[u'distance', u'volley', 'penalty', u'shot']",4,1729,96643,2014/2015,12,14,10194,1,3
166,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",18,51,[u'shot'],1,1729,32870,2014/2015,11,3,10252,0,1
167,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",40,34,[],0,1729,37194,2014/2015,3,3,10194,0,0
168,"[u'y', u'y', u'y', u'y']",29,17,"[u'tap_in', u'tap_in', u'header', u'header', u'header', u'header', u'shot', u'header']",8,1729,30830,2014/2015,30,14,10194,0,8
169,"[u'y', u'y', u'y', u'y', u'y']",38,26,"[u'lob', u'volley', u'volley', u'header', u'shot', u'shot', 'penalty']",7,1729,39109,2014/2015,22,25,10194,1,6
170,"[u'y', u'y', u'y', u'y', u'y']",16,15,"[u'shot', u'shot', u'shot']",3,1729,184360,2014/2015,11,23,10252,0,3
171,[u'y'],22,12,[],0,1729,93484,2014/2015,5,4,10252,0,0
172,"[u'y', u'y']",29,27,[u'shot'],1,1729,110148,2014/2015,24,17,10194,0,1
173,"[u'y', u'y', u'y2', u'y', u'y']",11,5,[],0,1729,30602,2014/2015,8,5,10252,0,0
174,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",33,22,"[u'loose_ball', u'shot']",2,1729,40695,2014/2015,13,2,10194,0,2
175,[u'y'],15,5,[],0,1729,183500,2014/2015,11,7,10252,0,0
176,"[u'y', u'y', u'y', u'y', u'y', u'y']",25,21,"[u'header', u'header']",2,1729,169162,2014/2015,10,3,8659,0,2
177,"[u'y', u'y']",8,4,[u'shot'],1,1729,26527,2014/2015,2,0,8659,0,1
178,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",57,59,"[u'shot', u'header', u'shot', u'loose_ball', u'header']",5,1729,169721,2014/2015,37,39,8472,0,5
179,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",52,34,"[u'shot', u'shot', u'distance']",3,1729,25075,2014/2015,23,31,8659,0,3
180,"[u'y', u'y', u'y', u'y']",29,16,[],0,1729,24150,2014/2015,4,1,8472,0,0
181,"[u'y', u'y', u'y', u'y', u'y']",22,11,[u'shot'],1,1729,32734,2014/2015,9,8,8659,0,1
182,"[u'y', u'y', u'y', u'y']",20,29,"[u'header', u'shot', u'header', u'header', u'shot']",5,1729,32627,2014/2015,17,14,8472,0,5
183,"[u'y', u'y', u'y', u'y']",20,15,[],0,1729,180330,2014/2015,17,7,8472,0,0
184,[u'y'],1,1,[],0,1729,150833,2014/2015,1,0,8472,0,0
185,[],17,26,"[u'header', u'header', u'header']",3,1729,25666,2014/2015,6,15,8659,0,3
186,"[u'y', u'y']",31,42,"['penalty', u'tap_in', u'shot', u'indirect freekick', u'shot', u'volley', u'header', u'shot', 'penalty', u'header', u'shot', 'penalty', u'shot', 'penalty']",14,1729,239807,2014/2015,31,36,8659,4,10
187,[],0,3,[],0,1729,37233,2014/2015,0,0,8472,0,0
188,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",56,21,[u'distance'],1,1729,25150,2014/2015,6,4,8472,0,1
189,"[u'y', u'r']",26,22,[],0,1729,71502,2014/2015,7,6,8659,0,0
190,"[u'y', u'y', u'y', u'y', u'y']",23,12,"[u'header', u'header', u'header']",3,1729,109058,2014/2015,7,15,8472,0,3
191,"[u'y', u'r', u'y', u'y', u'y']",15,10,[],0,1729,30362,2014/2015,1,2,8472,0,0
192,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y']",36,47,"[u'shot', 'penalty', 'penalty', 'penalty']",4,1729,118929,2014/2015,9,16,8472,3,1
193,[],7,4,[],0,1729,70297,2014/2015,2,5,8472,0,0
194,"[u'y', u'y', u'y', u'y', u'y']",18,52,[u'shot'],1,1729,33468,2014/2015,9,15,8659,0,1
195,[u'y'],16,7,[],0,1729,265918,2014/2015,2,2,8659,0,0
196,"[u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y', u'y']",52,53,"[u'shot', u'direct_freekick', u'direct_freekick']",3,1729,35443,2014/2015,14,16,8472,0,3
197,[u'y'],22,7,[],0,1729,38795,2014/2015,3,1,8659,0,0
198,"[u'y', u'y', u'y', u'y', u'y']",28,18,"[u'header', u'shot']",2,1729,23257,2014/2015,12,14,8659,0,2
199,"[u'y', u'y', u'y', u'y']",35,36,"[u'deflected', 'penalty']",2,1729,37169,2014/2015,6,14,8654,1,1
200,"[u'r', u'r']",4,3,[],0,1729,111800,2014/2015,0,1,8586,0,0
201,"[u'y', u'y2', u'y', u'y', u'y', u'y', u'y', u'y']",18,9,[],0,1729,24751,2014/2015,5,4,8654,0,0
202,[u'y'],4,3,[],0,1729,30895,2014/2015,2,0,8586,0,0
203,"[u'y', u'y', u'y', u'y']",15,26,"[u'shot', u'loose_ball', u'shot', u'direct_freekick', u'distance', u'direct_freekick', u'direct_freekick', u'tap_in', u'shot', u'shot']",10,1729,157723,2014/2015,33,51,8586,0,10
204,"[u'y', u'y', u'y', u'y', u'y']",43,44,"[u'header', u'deflected', u'header', u'shot']",4,1729,148302,2014/2015,15,10,8654,0,4
205,"[u'y', u'y', u'y', u'y', u'y', u'y']",48,51,"[u'distance', u'header']",2,1729,174850,2014/2015,13,23,8586,0,2
